time          Z             SDR           rho           mu            cp            T             Radiation     H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+03  0.000000e+00  0.000000e+00  1.156631e+00  1.863412e-05  1.010080e+03  3.000000e+02  0.000000e+00  0.000000e+00  2.329175e-01  0.000000e+00  6.568408e-31  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.670825e-01  1.000000e+00  
1.000000e+03  2.850810e-03  3.590054e-02  5.376923e-01  3.131973e-05  1.090960e+03  6.341202e+02  0.000000e+00  1.770700e-05  2.097397e-01  2.529923e-02  1.578833e-08  2.761960e-06  1.854296e-05  1.428536e-05  1.206813e-05  7.648957e-01  1.000000e+00  
1.000000e+03  8.552430e-03  2.540262e-01  2.817009e-01  4.671319e-05  1.277378e+03  1.168980e+03  0.000000e+00  5.839593e-05  1.629846e-01  7.559032e-02  7.350473e-06  3.401005e-04  4.506441e-04  3.167565e-05  1.487018e-05  7.605221e-01  1.000000e+00  
1.000000e+03  1.767502e-02  8.932202e-01  1.736879e-01  6.179934e-05  1.499633e+03  1.784461e+03  0.000000e+00  4.499137e-04  8.799414e-02  1.497841e-01  1.342072e-04  2.523337e-03  5.569082e-03  1.303694e-05  7.924962e-06  7.535243e-01  1.000000e+00  
1.000000e+03  2.565729e-02  1.677473e+00  1.476714e-01  6.573908e-05  1.645740e+03  1.958886e+03  0.000000e+00  2.442031e-03  3.907934e-02  1.954274e-01  7.291216e-04  4.473586e-03  1.043207e-02  7.799898e-06  7.447987e-06  7.474012e-01  1.000000e+00  
1.000000e+03  2.793794e-02  1.933847e+00  1.432364e-01  6.607267e-05  1.684038e+03  1.976993e+03  0.000000e+00  3.564152e-03  3.136802e-02  2.041375e-01  9.233251e-04  4.082133e-03  1.026016e-02  6.589008e-06  6.338075e-06  7.456518e-01  1.000000e+00  
1.000000e+03  4.793794e-02  4.675910e+00  1.167452e-01  6.627521e-05  2.006437e+03  2.035730e+03  0.000000e+00  1.907028e-02  7.190731e-04  2.451208e-01  1.248297e-03  2.961742e-04  3.234683e-03  1.807726e-07  3.845520e-07  7.303101e-01  1.000000e+00  
1.000000e+03  1.256573e-01  2.007115e+01  9.920126e-02  4.685381e-05  2.996740e+03  1.402074e+03  0.000000e+00  9.961998e-02  4.504554e-05  2.292210e-01  3.867588e-04  3.439873e-07  3.388327e-05  2.154701e-08  1.113626e-08  6.706930e-01  1.000000e+00  
1.000000e+03  2.810960e-01  5.348180e+01  9.145923e-02  2.730896e-05  4.862708e+03  8.262681e+02  0.000000e+00  2.599599e-01  2.464352e-05  1.885143e-01  4.242287e-05  9.230334e-10  2.998355e-08  4.146382e-08  6.434893e-09  5.514587e-01  1.000000e+00  
1.000000e+03  5.142541e-01  7.473791e+01  8.839944e-02  1.615213e-05  7.910095e+03  5.068868e+02  0.000000e+00  5.000002e-01  1.608420e-05  1.273751e-01  1.249374e-06  1.747279e-11  2.060213e-10  1.062084e-07  4.413320e-09  3.726072e-01  1.000000e+00  
1.000000e+03  8.251315e-01  3.121359e+01  8.604921e-02  1.040617e-05  1.205768e+04  3.375139e+02  0.000000e+00  8.200005e-01  5.785094e-06  4.585504e-02  6.169885e-09  2.182608e-13  1.042228e-12  4.277010e-08  1.613435e-09  1.341386e-01  1.000000e+00  
1.000000e+03  1.000000e+00  0.000000e+00  8.081491e-02  8.999183e-06  1.431234e+04  3.000000e+02  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.000000e+00  
